@ pixel(103,99), Ray: origin=[ 0.1855, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(104,99), Ray: origin=[ 0.2385, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(105,99), Ray: origin=[ 0.2915, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(106,99), Ray: origin=[ 0.3445, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(107,99), Ray: origin=[ 0.3975, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(108,99), Ray: origin=[ 0.4505, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(109,99), Ray: origin=[ 0.5035, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(110,99), Ray: origin=[ 0.5565, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(111,99), Ray: origin=[ 0.6095, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(112,99), Ray: origin=[ 0.6625, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(113,99), Ray: origin=[ 0.7155, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(114,99), Ray: origin=[ 0.7685, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(115,99), Ray: origin=[ 0.8215, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(116,99), Ray: origin=[ 0.8745, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(117,99), Ray: origin=[ 0.9275, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(118,99), Ray: origin=[ 0.9805, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(119,99), Ray: origin=[ 1.0335, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(120,99), Ray: origin=[ 1.0865, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(121,99), Ray: origin=[ 1.1395, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(122,99), Ray: origin=[ 1.1925, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(123,99), Ray: origin=[ 1.2455, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(124,99), Ray: origin=[ 1.2985, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(125,99), Ray: origin=[ 1.3515, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(126,99), Ray: origin=[ 1.4045, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(127,99), Ray: origin=[ 1.4575, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
@ pixel(128,99), Ray: origin=[ 1.5105, 3.96, -7 ], direction=[ 0, 0, 1 ], t_min=0, t_max=inf
